3.docx,Unused triplet IDs,Unguessable text
1,X,"Grenadian former, specialized in
breaststroke events."
2,X,"high-mountain long-
distance trail in Bulgaria."
3,X,X
4,X,"pair of tall buildings, area
of London"
5,X,"American food, specializing in the dairy
industry."
6,X,292
7,X,"Punjab, with an original
annual capacity of 13 metric tons."
8,1,X
9,1,"published posthumously
in 1936."
10,X,"can refer to any person who holds property, authority, or a position of trust or responsibility to transfer the title of ownership to the person named as the new owner, in a trust instrument,
called a beneficiary."
11,"2, 3, 4","13 Test match appearances for Wallabies between 1983
and 1987."
12,X,"IBM PC (as a booter),
TI-99/4A."
13,"1, 6","detective novel, collected in the omnibus volume Three Aces (Viking
1971)."
14,"1, 2, 4","Frederick, from 2000 to 2005, representing the
state of South Australia."
15,X,"in Ruffec, Charente,
French"
16,2,"Italian, who currently rides for UCI Women's
Continental Team"
17,X,"Marie, Redlands, California, retired,
national"
18,X,lost
19,X,"directed the planning grant,  two million dollar Theological Exploration of Vocation project, served on the National Task Force on Education, lead grant writer for the Gustavus Academy for Faith, Science, and Ethics. She is also the translator and editor of a collection of essays by the Lutheran theologian J.G."
20,X,"American, from Franklin, Kentucky who became the first, to serve in the Kentucky Senate when in November 1949 she won a special election to replace her husband, J. Lee Moore, in the
legislature after his death."
21,"4, 6, 7","Mehallasha Edulji, Gujarat, played 26 first- class matches between
1892 and 1913."
22,10,"Camera: Jiri MacÃ, Starring: Rudolf HruÅ¡ÃnskÃ½, Jaromir HanzlÃk, Miroslav Stibich, Rudolf HruÅ¡Ã- nskÃ½ ml., Peter Brukner, Eugen Yegorov, Beatrice Holis,  Mary SpurnÃ¡, LibuÅ¡e
Å afrÃ¡nkovÃ¡, Further information: color, 83 min, comedy, Barrandov
Film Studio, 1983"
23,"6, 7","(Italian: Cugini carnali), Italian, starring Susan
Player"
24,"1, 3, 4, 5",from 1910 to 1944.
25,"3, 4, 6","played outfield for the
1872 and 1875, NAPBBP"
26,4,"Leontyevich, known for circumnavigating the Soviet Union on bicycle
between 1928 and 1931."
27,7,American
28,2,"Craig, American, filmmaker, musician and
former physicist."
29,"1, 3, 9, 10",American comedy
30,10,"as Jeffrey, as Steve, cameos, Gregory Jbara, Robert Klein, Kevin
Nealon"
